station_id,station_name,status,bikes,slots,capacity,ratio_ocupacion,ocupacion_categoria,lon,lat,lastUpdated,timestamp
279,193- Pza. La Ermita,IN_SERVICE,5,14,19,0.2632,baja,-0.911216,41.631495,2026-02-25 10:40:08+00:00,2026-02-28 19:22:00
278,270- Delicias Autobuses,IN_SERVICE,9,10,19,0.4737,media,-0.910784,41.659517,2026-02-25 10:40:08+00:00,2026-02-28 19:22:00
277,150- Mrio. Siresa: Dr. Iranzo,IN_SERVICE,10,8,18,0.5556,media,-0.864099,41.647586,2026-02-25 10:40:08+00:00,2026-02-28 19:22:00
274,190- Puerto Venecia Este,IN_SERVICE,26,15,41,0.6341,media,-0.883953,41.608225,2026-02-25 10:40:08+00:00,2026-02-28 19:22:00
273,224- Manuel Viola,IN_SERVICE,1,18,19,0.0526,baja,-0.857295,41.659139,2026-02-25 10:40:08+00:00,2026-02-28 19:22:00
272,189- Puerto Venecia Oeste,IN_SERVICE,7,32,39,0.1795,baja,-0.890212,41.608772,2026-02-25 10:40:08+00:00,2026-02-28 19:22:00
271,142- Ávila: Valencia,IN_SERVICE,5,14,19,0.2632,baja,-0.896833,41.64652,2026-02-25 10:40:08+00:00,2026-02-28 19:22:00
270,22- Delicias Llegadas,IN_SERVICE,6,13,19,0.3158,media,-0.913847,41.658983,2026-02-25 10:40:08+00:00,2026-02-28 19:22:00
269,263- Avda. Real Zaragoza,IN_SERVICE,6,13,19,0.3158,media,-0.823103,41.667017,2026-02-25 10:40:08+00:00,2026-02-28 19:22:00
268,147- Norte: Iglesia,IN_SERVICE,10,9,19,0.5263,media,-0.830298,41.669352,2026-02-25 10:40:08+00:00,2026-02-28 19:22:00
267,144- Ostáriz Forcén: Brazal,IN_SERVICE,12,6,18,0.6667,media,-0.833772,41.669131,2026-02-25 10:40:08+00:00,2026-02-28 19:22:00
266,143- Sta. Isabel: Víctor Jara,IN_SERVICE,5,17,22,0.2273,baja,-0.838466,41.669403,2026-02-25 10:40:08+00:00,2026-02-28 19:22:00
265,232- Cañones Zaragoza: Tella,IN_SERVICE,1,18,19,0.0526,baja,-0.953121,41.622378,2026-02-25 10:40:08+00:00,2026-02-28 19:22:00
264,222- Americano París: Jard. Alá,IN_SERVICE,11,7,18,0.6111,media,-0.93617,41.624186,2026-02-25 10:40:08+00:00,2026-02-28 19:22:00
263,146- Pza. Serrano Berges,IN_SERVICE,11,5,16,0.6875,media,-0.831317,41.666919,2026-02-25 10:40:08+00:00,2026-02-28 19:22:00
262,145- Avda. Estudiantes,IN_SERVICE,16,3,19,0.8421,alta,-0.830664,41.672256,2026-02-25 10:40:08+00:00,2026-02-28 19:22:00
261,227- Patio Naranjos: Rolando,IN_SERVICE,4,13,17,0.2353,baja,-0.948898,41.622609,2026-02-25 10:40:08+00:00,2026-02-28 19:22:00
260,217- Isla Tesoro: Resplandor,IN_SERVICE,1,18,19,0.0526,baja,-0.927343,41.624556,2026-02-25 10:40:08+00:00,2026-02-28 19:22:00
259,215- Veracruz: Manhattan,IN_SERVICE,1,18,19,0.0526,baja,-0.92742,41.621124,2026-02-25 10:40:08+00:00,2026-02-28 19:22:00
258,213- Pza. Edad de Oro,IN_SERVICE,0,19,19,0.0,baja,-0.925056,41.616932,2026-02-25 10:40:08+00:00,2026-02-28 19:22:00
257,221- Casablanca: L. Schindler,IN_SERVICE,2,17,19,0.1053,baja,-0.933913,41.621408,2026-02-25 10:40:08+00:00,2026-02-28 19:22:00
256,220- Isla del Tesoro: Titanic,IN_SERVICE,1,20,21,0.0476,baja,-0.931042,41.625393,2026-02-25 10:40:08+00:00,2026-02-28 19:22:00
255,219- Tomás Lezáun: Ilustración,IN_SERVICE,3,16,19,0.1579,baja,-0.931813,41.629792,2026-02-25 10:40:08+00:00,2026-02-28 19:22:00
254,218- Desayuno Diamantes,IN_SERVICE,0,18,18,0.0,baja,-0.929785,41.622964,2026-02-25 10:40:08+00:00,2026-02-28 19:22:00
253,233- 21 de Junio: Miguelete,IN_SERVICE,11,8,19,0.5789,media,-0.957718,41.625648,2026-02-25 10:40:08+00:00,2026-02-28 19:22:00
252,231- Heroínas Sitios: Gómara,IN_SERVICE,4,15,19,0.2105,baja,-0.962323,41.627574,2026-02-25 10:40:08+00:00,2026-02-28 19:22:00
251,216- Ilustración: Jovellanos,IN_SERVICE,7,11,18,0.3889,media,-0.92592,41.627637,2026-02-25 10:40:08+00:00,2026-02-28 19:22:00
250,212- Los Olvidados: Shangai,IN_SERVICE,1,18,19,0.0526,baja,-0.922575,41.618661,2026-02-25 10:40:08+00:00,2026-02-28 19:22:00
249,230- Beethoven: Schubert,IN_SERVICE,5,14,19,0.2632,baja,-0.948351,41.639614,2026-02-25 10:40:08+00:00,2026-02-28 19:22:00
248,214- Ciud. Kane: Los Pájaros,IN_SERVICE,2,17,19,0.1053,baja,-0.92379,41.621709,2026-02-25 10:40:08+00:00,2026-02-28 19:22:00
247,211- Los Olvidados: Mercado,IN_SERVICE,0,18,18,0.0,baja,-0.919776,41.62189,2026-02-25 10:40:08+00:00,2026-02-28 19:22:00
246,229- J. Rodrigo: Beethoven ,IN_SERVICE,1,18,19,0.0526,baja,-0.94591,41.638083,2026-02-25 10:40:08+00:00,2026-02-28 19:22:00
245,228- Wagner: Beethoven,IN_SERVICE,5,14,19,0.2632,baja,-0.945339,41.634255,2026-02-25 10:40:08+00:00,2026-02-28 19:22:00
244,226- Camping Rosales,IN_SERVICE,4,15,19,0.2105,baja,-0.943367,41.63823,2026-02-25 10:40:08+00:00,2026-02-28 19:22:00
243,225- Ilustración: Mesta,IN_SERVICE,0,18,18,0.0,baja,-0.941206,41.630117,2026-02-25 10:40:08+00:00,2026-02-28 19:22:00
242,223- Ilustración 21,IN_SERVICE,2,17,19,0.1053,baja,-0.935722,41.630056,2026-02-25 10:40:08+00:00,2026-02-28 19:22:00
241,200- Pza. Bámbola,IN_SERVICE,0,19,19,0.0,baja,-0.917708,41.62291,2026-02-25 10:40:08+00:00,2026-02-28 19:22:00
240,199- Argualas: Sabocos,IN_SERVICE,12,6,18,0.6667,media,-0.912063,41.626029,2026-02-25 10:40:08+00:00,2026-02-28 19:22:00
239,197- Vía Ibérica: Cno. Almotilla,IN_SERVICE,7,12,19,0.3684,media,-0.911564,41.623857,2026-02-25 10:40:08+00:00,2026-02-28 19:22:00
238,244- Gmez. Laguna: Hayedo,IN_SERVICE,4,15,19,0.2105,baja,-0.917323,41.639601,2026-02-25 10:40:08+00:00,2026-02-28 19:22:00
237,196- Argualas: El Greco,IN_SERVICE,17,0,17,1.0,alta,-0.915013,41.627379,2026-02-25 10:40:08+00:00,2026-02-28 19:22:00
236,192- Olivar: Quirón,IN_SERVICE,9,10,19,0.4737,media,-0.920951,41.63027,2026-02-25 10:40:08+00:00,2026-02-28 19:22:00
235,248- Orión: Ozanam,IN_SERVICE,0,19,19,0.0,baja,-0.933925,41.641209,2026-02-25 10:40:08+00:00,2026-02-28 19:22:00
234,246- Pza. Armonía,IN_SERVICE,0,19,19,0.0,baja,-0.932766,41.637786,2026-02-25 10:40:08+00:00,2026-02-28 19:22:00
233,195- Sagrada Familia,IN_SERVICE,5,14,19,0.2632,baja,-0.910871,41.629155,2026-02-25 10:40:08+00:00,2026-02-28 19:22:00
232,194- Parq. Los Incrédulos,IN_SERVICE,3,15,18,0.1667,baja,-0.90829,41.629849,2026-02-25 10:40:08+00:00,2026-02-28 19:22:00
231,272- S. Juan B. Salle: Piquero,IN_SERVICE,3,16,19,0.1579,baja,-0.941247,41.63616,2026-02-25 10:40:07+00:00,2026-02-28 19:22:00
230,252- Estrellas: Orión,IN_SERVICE,3,16,19,0.1579,baja,-0.934444,41.643026,2026-02-25 10:40:07+00:00,2026-02-28 19:22:00
229,249- Pza. Inmaculada,IN_SERVICE,2,17,19,0.1053,baja,-0.930564,41.639848,2026-02-25 10:40:07+00:00,2026-02-28 19:22:00
228,247- Centauro: Argos,IN_SERVICE,0,19,19,0.0,baja,-0.930472,41.635875,2026-02-25 10:40:07+00:00,2026-02-28 19:22:00
227,245- Campillo Llerena,IN_SERVICE,3,16,19,0.1579,baja,-0.924098,41.638042,2026-02-25 10:40:07+00:00,2026-02-28 19:22:00
226,254- Leyva: Anillo Verde,IN_SERVICE,2,17,19,0.1053,baja,-0.92497,41.651618,2026-02-25 10:40:07+00:00,2026-02-28 19:22:00
